player_id,name,team,role,nationality,age,matches,innings,runs,average,strike_rate,hundreds,fifties,highest_score,wickets,bowling_avg,economy,catches,stumpings,form_score,market_value,2019_runs,2020_runs,2021_runs,2022_runs,2023_runs,2024_runs,speed,power,technique,consistency,fielding,leadership
P001,Virat Kohli,India,Batsman,Indian,35,500,485,24000,53.5,93.2,76,130,254,0,0,0,120,0,88,15000000,2455,2011,1850,2100,2200,1900,62,85,95,90,78,88
P002,Rohit Sharma,India,Batsman,Indian,37,490,470,20000,48.2,89.7,45,98,264,0,0,0,95,0,82,14000000,2200,1800,1900,2050,1950,1750,65,88,90,82,80,92
P003,Joe Root,England,Batsman,English,33,450,440,13000,51.3,88.5,32,62,228,5,45.2,3.1,110,0,84,12000000,1850,1600,1700,1900,2100,1800,60,75,92,88,82,85
P004,Steve Smith,Australia,Batsman,Australian,35,440,420,9100,62.8,55.3,30,38,239,0,0,0,85,0,86,13000000,1700,1500,1600,1800,1900,1650,55,78,94,91,70,80
P005,Babar Azam,Pakistan,Batsman,Pakistani,29,420,405,9500,58.2,88.9,26,52,196,0,0,0,90,0,89,11000000,1600,1800,2100,2300,2200,2000,63,82,91,87,75,78
P006,Ben Stokes,England,All-Rounder,English,33,300,285,6000,38.7,95.4,12,28,258,196,32.1,3.5,95,0,85,10000000,900,850,950,1100,1300,1200,72,92,88,80,85,95
P007,Ravindra Jadeja,India,All-Rounder,Indian,35,240,195,2800,35.2,62.1,2,14,175,250,24.8,2.6,115,0,83,9000000,480,420,550,680,750,700,68,80,82,85,92,88
P008,Pat Cummins,Australia,Bowler,Australian,31,200,150,900,15.2,82.4,0,2,55,250,21.5,3.8,75,0,80,9500000,150,180,200,220,250,240,88,85,72,82,78,90
P009,Jasprit Bumrah,India,Bowler,Indian,30,180,130,450,11.2,75.6,0,0,35,280,19.8,4.1,65,0,87,9000000,80,90,110,130,150,140,92,82,78,88,70,82
P010,Mitchell Starc,Australia,Bowler,Australian,34,200,155,800,14.8,88.5,0,1,50,220,24.2,4.5,70,0,78,8500000,120,130,150,160,180,170,90,88,75,80,72,80
P011,MS Dhoni,India,Wicket-Keeper,Indian,43,350,280,10700,50.2,135.2,16,73,183,0,0,0,140,195,81,8000000,1100,900,850,800,700,600,70,88,85,88,95,98
P012,Jos Buttler,England,Wicket-Keeper,English,33,220,210,5800,38.8,148.9,8,35,162,0,0,0,95,45,85,8500000,1100,950,1200,1350,1500,1400,68,90,84,82,88,86
P013,Kane Williamson,New Zealand,Batsman,New Zealander,34,430,415,8500,54.8,72.4,24,44,251,0,0,0,98,0,80,10000000,1600,1400,1550,1700,1800,1600,58,72,93,89,80,88
P014,David Warner,Australia,Batsman,Australian,38,420,405,9700,44.6,96.8,24,35,335,0,0,0,88,0,76,9000000,1800,1600,1700,1850,1900,1750,68,85,86,78,75,78
P015,Shakib Al Hasan,Bangladesh,All-Rounder,Bangladeshi,37,360,340,7000,37.5,78.2,9,46,154,290,29.8,2.9,95,0,82,7000000,900,850,950,1050,1100,980,65,78,84,83,82,88
P016,AB de Villiers,South Africa,Batsman,South African,40,420,390,9600,53.5,101.2,25,52,278,0,0,0,100,0,88,12000000,1800,1600,1750,0,0,0,72,90,92,86,88,85
P017,Hardik Pandya,India,All-Rounder,Indian,30,180,165,2800,30.5,148.8,0,18,91,85,36.5,8.2,78,0,80,8000000,550,480,500,600,700,750,78,92,78,72,80,82
P018,Trent Boult,New Zealand,Bowler,New Zealander,35,195,145,620,12.8,68.9,0,0,52,250,26.8,3.6,72,0,78,7500000,100,110,120,135,140,130,86,80,78,80,74,78
P019,Quinton de Kock,South Africa,Wicket-Keeper,South African,32,250,238,7500,44.8,125.6,12,42,183,0,0,0,102,55,83,8000000,1350,1200,1300,1450,1500,1400,70,86,85,82,90,80
P020,Rashid Khan,Afghanistan,Bowler,Afghan,26,180,120,800,18.5,142.5,0,3,35,330,19.2,6.2,75,0,88,8500000,250,280,310,340,360,380,72,75,82,88,78,82
