player_id,name,team,role,nationality,age,matches,innings,runs,average,strike_rate,hundreds,fifties,highest_score,wickets,bowling_avg,economy,catches,stumpings,form_score,market_value,2019_runs,2020_runs,2021_runs,2022_runs,2023_runs,2024_runs,speed,power,technique,consistency,fielding,leadership,last_updated
P001,Virat Kohli,India,Batsman,Indian,35,502,488,24049,49.28,92.7,76,130,254,0,0.0,0.0,120,0,88,15000000,2455,2011,1850,2100,2200,1949,62,85,95,90,78,88,2026-05-08 05:36:16
P002,Rohit Sharma,India,Batsman,Indian,37,492,471,20095,42.66,90.0,45,98,264,0,0.0,0.0,95,0,82,14000000,2200,1800,1900,2050,1950,1845,65,88,90,82,80,92,2026-05-08 05:36:16
P003,Joe Root,England,Batsman,English,33,453,443,13060,29.48,88.5,32,62,228,5,45.2,3.1,110,0,84,12000000,1850,1600,1700,1900,2100,1860,60,75,92,88,82,85,2026-05-08 05:36:16
P004,Steve Smith,Australia,Batsman,Australian,35,441,423,9166,21.67,55.8,30,38,239,0,0.0,0.0,85,0,86,13000000,1700,1500,1600,1800,1900,1716,55,78,94,91,70,80,2026-05-08 05:36:16
P005,Babar Azam,Pakistan,Batsman,Pakistani,29,422,408,9524,23.34,88.7,26,52,196,0,0.0,0.0,90,0,89,11000000,1600,1800,2100,2300,2200,2024,63,82,91,87,75,78,2026-05-08 05:36:16
P006,Ben Stokes,England,All-Rounder,English,33,303,287,6038,21.04,96.0,12,28,258,203,32.1,3.48,95,0,85,10000000,900,850,950,1100,1300,1238,72,92,88,80,85,95,2026-05-08 05:36:16
P007,Ravindra Jadeja,India,All-Rounder,Indian,35,242,197,2834,14.39,61.0,2,14,175,258,24.8,2.61,115,0,83,9000000,480,420,550,680,750,734,68,80,82,85,92,88,2026-05-08 05:36:16
P008,Pat Cummins,Australia,Bowler,Australian,31,201,150,900,15.2,82.4,0,2,55,252,21.5,3.74,75,0,80,9500000,150,180,200,220,250,240,88,85,72,82,78,90,2026-05-08 05:36:16
P009,Jasprit Bumrah,India,Bowler,Indian,30,182,130,450,11.2,75.6,0,0,35,287,19.8,4.0,65,0,87,9000000,80,90,110,130,150,140,92,82,78,88,70,82,2026-05-08 05:36:16
P010,Mitchell Starc,Australia,Bowler,Australian,34,201,155,800,14.8,88.5,0,1,50,223,24.2,4.57,70,0,78,8500000,120,130,150,160,180,170,90,88,75,80,72,80,2026-05-08 05:36:16
P011,MS Dhoni,India,Wicket-Keeper,Indian,43,351,282,10726,38.04,134.5,16,73,183,0,0.0,0.0,140,195,81,8000000,1100,900,850,800,700,626,70,88,85,88,95,98,2026-05-08 05:36:16
P012,Jos Buttler,England,Wicket-Keeper,English,33,222,212,5836,27.53,147.5,8,35,162,0,0.0,0.0,95,45,85,8500000,1100,950,1200,1350,1500,1436,68,90,84,82,88,86,2026-05-08 05:36:16
P013,Kane Williamson,New Zealand,Batsman,New Zealander,34,432,416,8592,20.65,71.3,24,44,251,0,0.0,0.0,98,0,80,10000000,1600,1400,1550,1700,1800,1692,58,72,93,89,80,88,2026-05-08 05:36:16
P014,David Warner,Australia,Batsman,Australian,38,421,408,9762,23.93,96.3,24,35,335,0,0.0,0.0,88,0,73,9000000,1800,1600,1700,1850,1900,1812,68,85,86,78,75,78,2026-05-08 05:36:16
P015,Shakib Al Hasan,Bangladesh,All-Rounder,Bangladeshi,37,363,343,7032,20.5,78.5,9,46,154,293,29.8,2.85,95,0,82,7000000,900,850,950,1050,1100,1012,65,78,84,83,82,88,2026-05-08 05:36:16
P016,AB de Villiers,South Africa,Batsman,South African,40,423,391,9631,24.63,99.7,25,52,278,0,0.0,0.0,100,0,92,12000000,1800,1600,1750,0,0,31,72,90,92,86,88,85,2026-05-08 05:36:16
P017,Hardik Pandya,India,All-Rounder,Indian,30,182,168,2856,17.0,149.9,0,18,91,89,36.5,8.25,78,0,83,8000000,550,480,500,600,700,806,78,92,78,72,80,82,2026-05-08 05:36:16
P018,Trent Boult,New Zealand,Bowler,New Zealander,35,196,145,620,12.8,68.9,0,0,52,251,26.8,3.68,72,0,78,7500000,100,110,120,135,140,130,86,80,78,80,74,78,2026-05-08 05:36:16
P019,Quinton de Kock,South Africa,Wicket-Keeper,South African,32,251,241,7560,31.37,124.5,12,42,183,0,0.0,0.0,102,55,83,8000000,1350,1200,1300,1450,1500,1460,70,86,85,82,90,80,2026-05-08 05:36:16
P020,Rashid Khan,Afghanistan,Bowler,Afghan,26,183,120,800,18.5,142.5,0,3,35,331,19.2,6.22,75,0,88,8500000,250,280,310,340,360,380,72,75,82,88,78,82,2026-05-08 05:36:16
