player_id,name,team,role,nationality,age,matches,innings,runs,average,strike_rate,hundreds,fifties,highest_score,wickets,bowling_avg,economy,catches,stumpings,form_score,market_value,2019_runs,2020_runs,2021_runs,2022_runs,2023_runs,2024_runs,speed,power,technique,consistency,fielding,leadership,last_updated
P001,Virat Kohli,India,Batsman,Indian,35,508,497,24184,48.66,91.2,76,130,254,0,0.0,0.0,120,0,88,15000000,2455,2011,1850,2100,2200,2084,62,85,95,90,78,88,2026-05-09 10:32:14
P002,Rohit Sharma,India,Batsman,Indian,37,498,474,20347,42.93,90.9,45,98,264,0,0.0,0.0,95,0,82,14000000,2200,1800,1900,2050,1950,2097,65,88,90,82,80,92,2026-05-09 10:32:14
P003,Joe Root,England,Batsman,English,33,462,452,13162,29.12,88.5,32,62,228,5,45.2,3.1,110,0,84,12000000,1850,1600,1700,1900,2100,1962,60,75,92,88,82,85,2026-05-09 10:32:14
P004,Steve Smith,Australia,Batsman,Australian,35,444,432,9232,21.37,57.3,30,38,239,0,0.0,0.0,85,0,86,13000000,1700,1500,1600,1800,1900,1782,55,78,94,91,70,80,2026-05-09 10:32:14
P005,Babar Azam,Pakistan,Batsman,Pakistani,29,428,417,9552,22.91,88.1,26,52,196,0,0.0,0.0,90,0,89,11000000,1600,1800,2100,2300,2200,2052,63,82,91,87,75,78,2026-05-09 10:32:14
P006,Ben Stokes,England,All-Rounder,English,33,312,293,6099,20.82,97.8,12,28,258,224,32.1,3.42,95,0,85,10000000,900,850,950,1100,1300,1299,72,92,88,80,85,95,2026-05-09 10:32:14
P007,Ravindra Jadeja,India,All-Rounder,Indian,35,248,203,2875,14.16,57.7,2,14,175,282,24.8,2.64,115,0,83,9000000,480,420,550,680,750,775,68,80,82,85,92,88,2026-05-09 10:32:14
P008,Pat Cummins,Australia,Bowler,Australian,31,204,150,900,15.2,82.4,0,2,55,258,21.5,3.56,75,0,80,9500000,150,180,200,220,250,240,88,85,72,82,78,90,2026-05-09 10:32:14
P009,Jasprit Bumrah,India,Bowler,Indian,30,188,130,450,11.2,75.6,0,0,35,308,19.8,3.7,65,0,87,9000000,80,90,110,130,150,140,92,82,78,88,70,82,2026-05-09 10:32:14
P010,Mitchell Starc,Australia,Bowler,Australian,34,204,155,800,14.8,88.5,0,1,50,232,24.2,4.78,70,0,78,8500000,120,130,150,160,180,170,90,88,75,80,72,80,2026-05-09 10:32:14
P011,MS Dhoni,India,Wicket-Keeper,Indian,43,354,288,10786,37.45,132.4,16,73,183,0,0.0,0.0,140,195,81,8000000,1100,900,850,800,700,686,70,88,85,88,95,98,2026-05-09 10:32:14
P012,Jos Buttler,England,Wicket-Keeper,English,33,228,218,5911,27.11,143.3,8,35,162,0,0.0,0.0,95,45,85,8500000,1100,950,1200,1350,1500,1511,68,90,84,82,88,86,2026-05-09 10:32:14
P013,Kane Williamson,New Zealand,Batsman,New Zealander,34,438,419,8694,20.75,68.0,24,44,251,0,0.0,0.0,98,0,80,10000000,1600,1400,1550,1700,1800,1794,58,72,93,89,80,88,2026-05-09 10:32:14
P014,David Warner,Australia,Batsman,Australian,38,424,417,9861,23.65,94.8,24,35,335,0,0.0,0.0,88,0,64,9000000,1800,1600,1700,1850,1900,1911,68,85,86,78,75,78,2026-05-09 10:32:14
P015,Shakib Al Hasan,Bangladesh,All-Rounder,Bangladeshi,37,372,352,7083,20.12,79.4,9,46,154,302,29.8,2.7,95,0,82,7000000,900,850,950,1050,1100,1063,65,78,84,83,82,88,2026-05-09 10:32:14
P016,AB de Villiers,South Africa,Batsman,South African,40,432,394,9673,24.55,95.2,25,52,278,0,0.0,0.0,100,0,100,12000000,1800,1600,1750,0,0,73,72,90,92,86,88,85,2026-05-09 10:32:14
P017,Hardik Pandya,India,All-Rounder,Indian,30,188,177,2948,16.66,153.2,0,18,91,101,36.5,8.4,78,0,92,8000000,550,480,500,600,700,898,78,92,78,72,80,82,2026-05-09 10:32:14
P018,Trent Boult,New Zealand,Bowler,New Zealander,35,199,145,620,12.8,68.9,0,0,52,254,26.8,3.92,72,0,78,7500000,100,110,120,135,140,130,86,80,78,80,74,78,2026-05-09 10:32:14
P019,Quinton de Kock,South Africa,Wicket-Keeper,South African,32,254,250,7685,30.74,121.2,12,42,183,0,0.0,0.0,102,55,83,8000000,1350,1200,1300,1450,1500,1585,70,86,85,82,90,80,2026-05-09 10:32:14
P020,Rashid Khan,Afghanistan,Bowler,Afghan,26,192,120,800,18.5,142.5,0,3,35,334,19.2,6.28,75,0,88,8500000,250,280,310,340,360,380,72,75,82,88,78,82,2026-05-09 10:32:14
